행정구역,2013년12월_계_총인구수,2013년12월_계_연령구간인구수,2013년12월_계_60~64세,2013년12월_계_65~69세,2013년12월_계_70~74세,2013년12월_계_75~79세,2013년12월_계_80~84세,2013년12월_계_85~89세,2013년12월_계_90~94세,2013년12월_계_95~99세,2013년12월_계_100세 이상,2013년12월_남_총인구수,2013년12월_남_연령구간인구수,2013년12월_남_60~64세,2013년12월_남_65~69세,2013년12월_남_70~74세,2013년12월_남_75~79세,2013년12월_남_80~84세,2013년12월_남_85~89세,2013년12월_남_90~94세,2013년12월_남_95~99세,2013년12월_남_100세 이상,2013년12월_여_총인구수,2013년12월_여_연령구간인구수,2013년12월_여_60~64세,2013년12월_여_65~69세,2013년12월_여_70~74세,2013년12월_여_75~79세,2013년12월_여_80~84세,2013년12월_여_85~89세,2013년12월_여_90~94세,2013년12월_여_95~99세,2013년12월_여_100세 이상
전국  (0000000000),"51,141,463","8,737,654","2,486,668","1,985,888","1,803,037","1,269,763","708,188","323,430","120,230","26,657","13,793","25,588,336","3,814,069","1,216,918","943,198","796,139","503,314","230,472","86,751","28,645","5,438","3,194","25,553,127","4,923,585","1,269,750","1,042,690","1,006,898","766,449","477,716","236,679","91,585","21,219","10,599"
서울특별시  (1100000000),"10,143,645","1,683,046","521,338","419,597","338,261","208,188","110,709","53,599","21,474","5,614","4,266","5,007,869","758,963","250,234","199,550","159,511","88,346","38,352","14,741","5,806","1,330","1,093","5,135,776","924,083","271,104","220,047","178,750","119,842","72,357","38,858","15,668","4,284","3,173"
부산광역시  (2600000000),"3,527,635","686,144","218,728","164,940","139,282","86,991","46,012","20,729","6,683","1,480","1,299","1,747,000","304,823","105,749","79,042","63,116","34,992","14,860","5,008","1,498",277,281,"1,780,635","381,321","112,979","85,898","76,166","51,999","31,152","15,721","5,185","1,203","1,018"
대구광역시  (2700000000),"2,501,588","419,926","130,680","94,589","86,649","58,111","30,873","13,332","4,326",906,460,"1,246,071","181,319","62,552","43,749","37,487","22,843","9,929","3,562",926,171,100,"1,255,517","238,607","68,128","50,840","49,162","35,268","20,944","9,770","3,400",735,360
인천광역시  (2800000000),"2,879,782","404,699","122,228","95,278","78,991","54,839","31,163","14,791","5,601","1,233",575,"1,448,835","179,244","61,461","45,964","34,977","21,388","9,716","3,801","1,524",264,149,"1,430,947","225,455","60,767","49,314","44,014","33,451","21,447","10,990","4,077",969,426
광주광역시  (2900000000),"1,472,910","215,273","63,399","51,426","43,555","29,172","16,404","7,481","2,923",643,270,"730,216","92,909","30,235","24,177","19,216","11,484","5,143","2,011",533,79,31,"742,694","122,364","33,164","27,249","24,339","17,688","11,261","5,470","2,390",564,239
대전광역시  (3000000000),"1,532,811","217,453","66,802","49,748","42,739","29,917","16,789","7,765","2,806",652,235,"767,309","96,636","33,189","23,956","19,010","11,942","5,458","2,191",700,137,53,"765,502","120,817","33,613","25,792","23,729","17,975","11,331","5,574","2,106",515,182
울산광역시  (3100000000),"1,156,480","142,401","50,880","33,045","26,381","16,616","9,299","4,303","1,486",282,109,"595,319","65,001","26,303","16,623","12,039","6,218","2,677",835,241,48,17,"561,161","77,400","24,577","16,422","14,342","10,398","6,622","3,468","1,245",234,92
세종특별자치시  (3600000000),"122,153","23,913","5,955","4,776","5,078","4,028","2,438","1,104",397,97,40,"62,205","10,265","2,945","2,240","2,195","1,659",786,303,106,14,17,"59,948","13,648","3,010","2,536","2,883","2,369","1,652",801,291,83,23
경기도  (4100000000),"12,234,630","1,681,601","486,078","391,838","340,393","239,992","131,505","60,878","23,251","5,144","2,522","6,159,193","743,488","240,296","185,878","151,130","97,027","44,510","16,685","6,143","1,154",665,"6,075,437","938,113","245,782","205,960","189,263","142,965","86,995","44,193","17,108","3,990","1,857"
강원도  (4200000000),"1,542,263","329,876","80,337","72,813","73,974","53,034","28,468","14,255","5,253","1,219",523,"776,498","142,511","39,040","34,317","32,613","21,583","9,046","3,949","1,486",296,181,"765,765","187,365","41,297","38,496","41,361","31,451","19,422","10,306","3,767",923,342
충청북도  (4300000000),"1,572,732","298,753","76,565","62,474","64,524","49,880","27,448","12,228","4,334",945,355,"792,862","128,996","38,019","29,798","28,129","19,587","8,678","3,463","1,024",205,93,"779,870","169,757","38,546","32,676","36,395","30,293","18,770","8,765","3,310",740,262
충청남도  (4400000000),"2,047,631","422,468","102,273","85,361","88,685","74,970","43,213","19,112","6,809","1,466",579,"1,037,421","182,351","50,396","40,944","38,104","30,038","15,171","5,638","1,624",321,115,"1,010,210","240,117","51,877","44,417","50,581","44,932","28,042","13,474","5,185","1,145",464
전라북도  (4500000000),"1,872,965","414,786","102,022","87,492","88,225","69,316","40,745","18,176","6,821","1,407",582,"932,894","175,354","50,009","41,406","37,031","26,678","13,302","5,129","1,471",222,106,"940,071","239,432","52,013","46,086","51,194","42,638","27,443","13,047","5,350","1,185",476
전라남도  (4600000000),"1,907,172","483,837","109,272","99,539","109,376","84,026","49,887","20,847","8,579","1,640",671,"952,597","199,652","54,259","46,427","45,392","30,824","15,205","5,594","1,639",238,74,"954,575","284,185","55,013","53,112","63,984","53,202","34,682","15,253","6,940","1,402",597
경상북도  (4700000000),"2,699,440","610,777","158,360","121,487","132,824","101,650","57,887","26,706","9,288","1,947",628,"1,355,951","258,302","77,681","57,471","56,111","38,659","18,663","7,180","2,056",366,115,"1,343,489","352,475","80,679","64,016","76,713","62,991","39,224","19,526","7,232","1,581",513
경상남도  (4800000000),"3,333,820","597,113","165,468","127,221","122,809","92,664","55,225","24,255","7,597","1,385",489,"1,678,592","250,158","81,764","59,939","50,697","33,774","16,173","5,924","1,550",254,83,"1,655,228","346,955","83,704","67,282","72,112","58,890","39,052","18,331","6,047","1,131",406
제주특별자치도  (5000000000),"593,806","105,588","26,283","24,264","21,291","16,369","10,123","3,869","2,602",597,190,"297,504","44,097","12,786","11,717","9,381","6,272","2,803",737,318,62,21,"296,302","61,491","13,497","12,547","11,910","10,097","7,320","3,132","2,284",535,169
